id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
48,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,DESEMBER,249.0,MILIMETER,2015
49,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JANUARI,246.0,MILIMETER,2016
50,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,FEBRUARI,123.0,MILIMETER,2016
51,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,MARET,272.0,MILIMETER,2016
52,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,APRIL,261.0,MILIMETER,2016
53,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,MEI,31.0,MILIMETER,2016
54,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JUNI,100.0,MILIMETER,2016
55,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JULI,116.0,MILIMETER,2016
56,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,AGUSTUS,242.0,MILIMETER,2016
57,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,SEPTEMBER,182.0,MILIMETER,2016
58,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,OKTOBER,217.0,MILIMETER,2016
59,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,NOVEMBER,234.0,MILIMETER,2016
60,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,DESEMBER,106.0,MILIMETER,2016
61,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JANUARI,347.0,MILIMETER,2016
62,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,FEBRUARI,437.0,MILIMETER,2016
63,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MARET,484.0,MILIMETER,2016
64,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,APRIL,202.0,MILIMETER,2016
65,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MEI,237.0,MILIMETER,2016
